SEX_label,JWTR_label,SCHL_label,vehicle,PINCP,JWMNP,GRNTP,AGEP
Female,"Car, truck, or van",Associate's degree,2,24000,25,0,35
Female,"Car, truck, or van",Associate's degree,4,23000,10,0,38
Male,"Car, truck, or van",Associate's degree,4,68000,10,0,44
Male,"Car, truck, or van","Some college, but less than 1 year",4,5600,10,0,18
Female,Walked,Bachelor's degree,2,94000,15,930,34
Female,"Car, truck, or van",Bachelor's degree,2,50000,25,930,33
Female,"Car, truck, or van",Associate's degree,1,35000,15,1450,37
Male,"Car, truck, or van",Bachelor's degree,2,22400,23,0,57
Male,"Car, truck, or van",Associate's degree,1,47000,30,1218,28
Male,"Car, truck, or van",Master's degree,2,115000,25,0,32
Female,"Car, truck, or van",Associate's degree,2,50000,30,0,34
Male,"Car, truck, or van",Master's degree,1,21000,30,0,68
Female,"Car, truck, or van",Bachelor's degree,1,76000,45,0,66
Female,"Car, truck, or van","1 or more years of college credit, no degree",3,65000,45,0,52
Male,"Car, truck, or van",Regular high school diploma,3,52000,45,0,52
Male,"Car, truck, or van",Bachelor's degree,2,48000,25,0,40
Female,"Car, truck, or van",Bachelor's degree,2,40000,20,0,33
Female,"Car, truck, or van",Master's degree,3,82100,18,0,45
Female,"Car, truck, or van","1 or more years of college credit, no degree",3,25000,20,0,29
Female,"Car, truck, or van",Bachelor's degree,1,40000,3,920,26
Male,"Car, truck, or van",Master's degree,1,50000,5,1898,42
Male,"Car, truck, or van","1 or more years of college credit, no degree",1,40000,15,850,44
Female,"Car, truck, or van",Bachelor's degree,2,61000,15,0,50
Female,"Car, truck, or van",Associate's degree,2,18000,15,0,63
Male,"Car, truck, or van","Some college, but less than 1 year",2,50000,30,0,43
Male,"Car, truck, or van",Bachelor's degree,3,149000,75,0,39
Male,"Car, truck, or van",Doctorate degree,4,90000,30,0,41
Female,"Car, truck, or van",Regular high school diploma,4,8900,30,0,37
Female,"Car, truck, or van",Regular high school diploma,4,136000,35,0,37
Female,"Car, truck, or van",Bachelor's degree,4,15000,35,0,20
Female,Other method,Regular high school diploma,2,11300,157,0,49
Male,Other method,GED or alternative credential,2,100000,20,0,55
Male,"Car, truck, or van",Bachelor's degree,2,20000,20,0,24
Male,"Car, truck, or van",Bachelor's degree,2,61000,90,1592,35
Female,"Car, truck, or van",Bachelor's degree,2,1700,30,1592,28
Male,"Car, truck, or van","1 or more years of college credit, no degree",2,6000,10,0,37
Female,"Car, truck, or van",Regular high school diploma,2,25000,5,530,21
Male,"Car, truck, or van","Some college, but less than 1 year",2,30000,5,530,23
Male,Walked,Bachelor's degree,2,52000,30,1860,25
Male,Walked,Bachelor's degree,2,65000,30,1860,24
Male,"Car, truck, or van","1 or more years of college credit, no degree",3,20500,20,0,43
Female,"Car, truck, or van",Associate's degree,5,40000,50,0,41
Male,"Car, truck, or van","1 or more years of college credit, no degree",5,52000,30,0,46
Male,"Car, truck, or van",Grade 11,5,20000,30,0,18
Male,"Car, truck, or van",Associate's degree,2,88000,25,0,39
Male,"Car, truck, or van",Bachelor's degree,2,41500,20,0,33
Male,"Car, truck, or van",Master's degree,4,498000,10,0,53
Female,"Car, truck, or van","1 or more years of college credit, no degree",4,4000,10,0,22
Female,"Car, truck, or van",Master's degree,1,45200,20,0,65
Female,"Car, truck, or van",Master's degree,2,101000,40,0,39
Male,"Car, truck, or van",Bachelor's degree,2,85000,30,0,42
Female,"Car, truck, or van",Regular high school diploma,2,52000,24,1252,34
Male,"Car, truck, or van","Some college, but less than 1 year",2,1300,5,1252,33
Female,Subway or elevated,"1 or more years of college credit, no degree",1,8330,35,0,21
Male,"Car, truck, or van",12th grade - no diploma,1,4730,30,0,22
Female,"Car, truck, or van",Bachelor's degree,1,11900,30,0,46
Male,"Car, truck, or van",Professional degree beyond a bachelor's degree,0,95000,20,0,65
Male,"Car, truck, or van",Associate's degree,0,5000,15,0,27
Male,"Car, truck, or van",Bachelor's degree,2,35000,50,0,53
Female,"Car, truck, or van",Grade 8,2,21100,15,1195,57
Female,Walked,Regular high school diploma,2,15000,30,1195,20
Female,"Car, truck, or van","1 or more years of college credit, no degree",2,170000,20,0,64
Male,"Car, truck, or van",Regular high school diploma,1,2400,60,0,70
Male,"Car, truck, or van",Associate's degree,3,34000,30,0,25
Female,"Car, truck, or van","1 or more years of college credit, no degree",3,32000,30,0,25
Male,"Car, truck, or van",Master's degree,2,48000,15,0,39
Female,Bicycle,Associate's degree,2,5500,25,0,37
Female,"Car, truck, or van",Bachelor's degree,1,32400,15,0,77
Female,"Car, truck, or van",Regular high school diploma,6,52000,30,0,59
Male,"Car, truck, or van","Some college, but less than 1 year",6,125500,50,0,59
Female,"Car, truck, or van",Bachelor's degree,3,53000,5,0,50
Male,"Car, truck, or van",Regular high school diploma,5,40000,5,0,65
Female,"Car, truck, or van","1 or more years of college credit, no degree",5,38000,65,0,55
Male,"Car, truck, or van",Associate's degree,2,63000,40,0,31
Female,"Car, truck, or van",Master's degree,2,50000,25,0,63
Male,"Car, truck, or van",Bachelor's degree,2,35000,30,0,55
Female,"Car, truck, or van","1 or more years of college credit, no degree",3,40000,60,1733,60
Male,"Car, truck, or van",Regular high school diploma,3,2000,60,1733,30
Male,"Car, truck, or van",Associate's degree,2,86000,15,0,56
Female,"Car, truck, or van",Master's degree,2,93000,25,0,54
Female,"Car, truck, or van","1 or more years of college credit, no degree",2,47000,5,1176,60
Male,"Car, truck, or van",12th grade - no diploma,2,18000,45,0,33
Male,"Car, truck, or van",Regular high school diploma,1,40000,20,0,32
Male,"Car, truck, or van",Bachelor's degree,2,105000,10,0,29
Female,"Car, truck, or van",Bachelor's degree,1,100000,15,0,47
Male,"Car, truck, or van","Some college, but less than 1 year",1,65000,10,0,26
Male,"Car, truck, or van",Regular high school diploma,3,55000,12,0,35
Male,"Car, truck, or van",Doctorate degree,2,36000,10,1400,28
Female,"Car, truck, or van",Master's degree,2,70000,35,0,49
Male,"Car, truck, or van","Some college, but less than 1 year",2,70000,30,0,51
Male,"Car, truck, or van","1 or more years of college credit, no degree",3,48600,20,0,77
Female,"Car, truck, or van",GED or alternative credential,3,32000,20,0,59
Female,"Car, truck, or van",Grade 10,2,9000,35,0,51
Female,"Car, truck, or van","Some college, but less than 1 year",2,30000,20,0,64
Male,"Car, truck, or van","Some college, but less than 1 year",2,65000,20,0,64
Female,"Car, truck, or van",Regular high school diploma,3,53000,78,0,29
Male,"Car, truck, or van","1 or more years of college credit, no degree",3,60000,15,0,28
Male,"Car, truck, or van",Regular high school diploma,1,24000,25,0,53
Male,"Car, truck, or van",Bachelor's degree,1,105200,20,0,44
Female,"Car, truck, or van",Bachelor's degree,6,180340,20,0,48
Female,"Car, truck, or van",Grade 10,6,1300,8,0,16
Female,"Car, truck, or van",Associate's degree,6,27000,8,0,26
Male,"Car, truck, or van",Regular high school diploma,6,93200,30,0,49
Female,"Car, truck, or van",Master's degree,3,58500,157,0,36
Female,"Car, truck, or van",Master's degree,3,65000,157,0,36
Male,"Car, truck, or van",Master's degree,1,45000,60,0,67
Male,"Car, truck, or van","1 or more years of college credit, no degree",3,51000,30,0,63
Female,"Car, truck, or van",Bachelor's degree,3,35000,12,0,64
Male,"Car, truck, or van",Regular high school diploma,4,129000,35,0,57
Female,"Car, truck, or van","1 or more years of college credit, no degree",4,48000,15,0,54
Female,"Car, truck, or van",Bachelor's degree,1,55000,10,2031,23
Male,"Car, truck, or van","1 or more years of college credit, no degree",2,21600,10,1180,27
Female,"Car, truck, or van","1 or more years of college credit, no degree",2,12000,10,1180,25
Male,"Car, truck, or van",Regular high school diploma,1,36000,12,0,59
Female,"Car, truck, or van",Grade 8,1,45900,12,0,69
Male,"Car, truck, or van",Grade 10,6,74000,55,0,44
Male,"Car, truck, or van",Grade 6,6,20400,30,0,62
Male,"Car, truck, or van",Regular high school diploma,6,35000,55,0,18
Male,"Car, truck, or van","1 or more years of college credit, no degree",3,167000,40,0,62
Female,"Car, truck, or van",Regular high school diploma,3,28000,8,0,60
Male,"Car, truck, or van",Bachelor's degree,3,30000,30,0,25
Male,Bicycle,Professional degree beyond a bachelor's degree,2,20000,5,0,35
Female,"Car, truck, or van",Bachelor's degree,2,36000,15,0,28
Female,"Car, truck, or van","Some college, but less than 1 year",1,18000,25,1860,51
Male,"Car, truck, or van","1 or more years of college credit, no degree",3,39000,10,0,60
Female,"Car, truck, or van",Bachelor's degree,3,77000,5,0,56
Male,"Car, truck, or van",GED or alternative credential,2,55000,40,1335,24
Female,"Car, truck, or van","1 or more years of college credit, no degree",2,16000,40,1335,21
Male,"Car, truck, or van",GED or alternative credential,2,53000,15,1473,40
Female,"Car, truck, or van",Associate's degree,3,33300,10,0,37
Male,"Car, truck, or van",Regular high school diploma,3,35000,90,0,37
Female,"Car, truck, or van",Bachelor's degree,2,112000,20,1627,62
Male,"Car, truck, or van","1 or more years of college credit, no degree",2,3000,30,1334,23
Female,"Car, truck, or van",Bachelor's degree,2,15000,35,1334,22
Male,"Car, truck, or van",Bachelor's degree,2,65000,30,0,41
Female,"Car, truck, or van",Bachelor's degree,2,49900,40,0,44
Male,"Car, truck, or van",Bachelor's degree,2,150000,30,0,45
Male,"Car, truck, or van",Master's degree,3,8000,45,0,52
Male,"Car, truck, or van","1 or more years of college credit, no degree",2,40000,10,1204,40
Male,Subway or elevated,Bachelor's degree,1,145000,60,0,36
Male,Walked,"Some college, but less than 1 year",2,50000,1,0,66
Female,"Car, truck, or van",GED or alternative credential,2,40000,20,0,53
Male,"Car, truck, or van","Some college, but less than 1 year",1,36000,40,0,66
Female,"Car, truck, or van",Master's degree,1,80000,14,1303,33
Male,"Car, truck, or van","1 or more years of college credit, no degree",2,55000,5,1185,55
Female,"Car, truck, or van","1 or more years of college credit, no degree",2,24000,6,1185,20
Male,"Car, truck, or van",Regular high school diploma,2,12000,12,1185,23
Male,"Car, truck, or van",Grade 7,2,63000,12,1185,53
Female,"Car, truck, or van",Doctorate degree,5,78000,100,0,35
Male,"Car, truck, or van",Bachelor's degree,2,46000,12,1520,28
Male,"Car, truck, or van",Bachelor's degree,2,50000,10,1520,28
Female,"Car, truck, or van",Associate's degree,3,33000,10,0,50
Male,"Car, truck, or van",Bachelor's degree,3,100000,15,0,50
Female,"Car, truck, or van",Grade 11,3,1000,10,0,20
Male,Bicycle,Associate's degree,2,30000,20,0,49
Female,Bicycle,Bachelor's degree,2,30000,20,0,47
Male,"Car, truck, or van",Bachelor's degree,2,42300,10,0,70
Female,"Car, truck, or van",Bachelor's degree,2,151370,5,0,69
Male,"Car, truck, or van","Some college, but less than 1 year",3,125000,20,0,27
Male,"Car, truck, or van",Bachelor's degree,3,37000,20,0,29
Female,"Car, truck, or van",Bachelor's degree,3,50000,30,0,27
Female,"Car, truck, or van","1 or more years of college credit, no degree",1,20180,30,1450,40
